Tip Matrice,Nr threads,Timp executie
N=10 M=10 n=3 m=3,0,0.133926666666667
N=10 M=10 n=3 m=3,2,3.90417333333333
N=1000 M=1000 n=5 m=5,0,65.8146133333333
N=1000 M=1000 n=5 m=5,1,66.9313466666667
N=1000 M=1000 n=5 m=5,2,117.06524
N=1000 M=1000 n=5 m=5,4,173.341406666667
N=1000 M=1000 n=5 m=5,8,238.59784
N=1000 M=1000 n=5 m=5,16,125.1554
N=1000 M=1000 n=5 m=5,16,330.799106666667
N=10 M=10000 n=5 m=5,0,45.491
N=10 M=10000 n=5 m=5,1,47.93024
N=10 M=10000 n=5 m=5,2,59.30256
N=10 M=10000 n=5 m=5,4,78.1022
N=10 M=10000 n=5 m=5,8,84.90548
N=10 M=10000 n=5 m=5,16,84.45648
N=10000 M=10 n=5 m=5,0,18.6888733333333
N=10000 M=10 n=5 m=5,1,21.5390266666667
N=10000 M=10 n=5 m=5,2,35.7890133333333
N=10000 M=10 n=5 m=5,4,50.3910666666667
N=10000 M=10 n=5 m=5,8,65.1979066666667
N=10000 M=10 n=5 m=5,16,77.4500666666667
