Tip Matrice,Tip alocare,Nr threads,Timp executie
N=10 M=10 n=3 m=3, 0 ,0,0.0256533333333333
N=10 M=10 n=3 m=3, 0 ,2,1.59454666666667
N=1000 M=1000 n=5 m=5, 0 ,0,58.3951066666667
N=1000 M=1000 n=5 m=5, 0 ,1,58.0011466666667
N=1000 M=1000 n=5 m=5, 0 ,2,31.2934466666667
N=1000 M=1000 n=5 m=5, 0 ,4,28.9055866666667
N=1000 M=1000 n=5 m=5, 0 ,8,30.6500066666667
N=1000 M=1000 n=5 m=5, 0 ,16,31.39212
N=10 M=10000 n=5 m=5, 0 ,0,8.45992666666667
N=10 M=10000 n=5 m=5, 0 ,1,9.16213333333333
N=10 M=10000 n=5 m=5, 0 ,2,5.52009333333333
N=10 M=10000 n=5 m=5, 0 ,4,5.45589333333333
N=10 M=10000 n=5 m=5, 0 ,8,6.10408666666667
N=10 M=10000 n=5 m=5, 0 ,16,6.93195333333333
N=10000 M=10 n=5 m=5, 0 ,0,7.92584666666667
N=10000 M=10 n=5 m=5, 0 ,1,9.16863333333333
N=10000 M=10 n=5 m=5, 0 ,2,5.64482666666667
N=10000 M=10 n=5 m=5, 0 ,4,5.19493333333333
N=10000 M=10 n=5 m=5, 0 ,8,5.96242
N=10000 M=10 n=5 m=5, 0 ,16,6.54933333333333
